"Area","Kind","Name","File","Line"
"API","interface","AccessTokenPayload","apps\api\src\modules\auth\interfaces\jwt-payload.interface.ts","1"
"API","enum","ActiveTaskStatus","apps\api\src\modules\development\dto\development.dto.ts","21"
"API","class","ActivityQueryDto","apps\api\src\modules\activity\dto\activity-query.dto.ts","10"
"API","interface","ActivityWriteInput","apps\api\src\modules\activity\interfaces\activity-writer.interface.ts","3"
"API","class","AddWorkspaceMemberDto","apps\api\src\modules\workspace\dto\add-workspace-member.dto.ts","5"
"API","interface","AddWorkspaceMemberInput","apps\api\src\modules\workspace\service\workspace-members.service.ts","27"
"API","interface","AdvisoryLockRow","apps\api\src\infrastructure\database\postgres-advisory-lock.service.ts","12"
"API","interface","AggregateDimensionRow","apps\api\src\modules\analytics-reports\services\analytics-reports.service.ts","82"
"API","enum","AnalyticsAggregatePeriod","apps\api\src\modules\analytics-engine\dto\analytics-engine.dto.ts","6"
"API","class","AnalyticsAggregateQueryDto","apps\api\src\modules\analytics-engine\dto\analytics-engine.dto.ts","51"
"API","interface","AnalyticsAggregationWebsite","apps\api\src\modules\analytics-engine\services\analytics-aggregation.service.ts","12"
"API","class","AnalyticsBreakdownItemDto","apps\api\src\modules\analytics-overview\dto\analytics-overview-response.dto.ts","114"
"API","interface","AnalyticsBucket","apps\api\src\modules\analytics-engine\utils\analytics-time.ts","4"
"API","enum","AnalyticsDatePreset","apps\api\src\modules\analytics-overview\dto\analytics-overview-query.dto.ts","4"
"API","class","AnalyticsMetricDto","apps\api\src\modules\analytics-overview\dto\analytics-overview-response.dto.ts","59"
"API","class","AnalyticsMetricsDto","apps\api\src\modules\analytics-overview\dto\analytics-overview-response.dto.ts","73"
"API","class","AnalyticsOverviewQueryDto","apps\api\src\modules\analytics-overview\dto\analytics-overview-query.dto.ts","13"
"API","class","AnalyticsOverviewResponseDto","apps\api\src\modules\analytics-overview\dto\analytics-overview-response.dto.ts","128"
"API","type","AnalyticsPageViewRecord","apps\api\src\modules\analytics-engine\services\page-view-rebuilder.service.ts","7"
