"Area","Kind","Name","File","Line"
"API","interface","AccessTokenPayload","apps\api\src\modules\auth\interfaces\jwt-payload.interface.ts","1"
"API","enum","ActiveTaskStatus","apps\api\src\modules\development\dto\development.dto.ts","21"
"WEB","interface","ActivityListQuery","apps\web\src\features\activity\activity-types.ts","118"
"WEB","interface","ActivityListResponse","apps\web\src\features\activity\activity-types.ts","113"
"WEB","interface","ActivityPagination","apps\web\src\features\activity\activity-types.ts","104"
"API","class","ActivityQueryDto","apps\api\src\modules\activity\dto\activity-query.dto.ts","10"
"API","interface","ActivityWriteInput","apps\api\src\modules\activity\interfaces\activity-writer.interface.ts","3"
"API","class","AddWorkspaceMemberDto","apps\api\src\modules\workspace\dto\add-workspace-member.dto.ts","5"
"API","interface","AddWorkspaceMemberInput","apps\api\src\modules\workspace\service\workspace-members.service.ts","27"
"API","class","AnalyticsAggregateQueryDto","apps\api\src\modules\analytics-engine\dto\analytics-engine.dto.ts","51"
"WEB","interface","AnalyticsAggregateResponse","apps\web\src\features\analytics-engine\analytics-engine-types.ts","116"
"API","class","AnalyticsBreakdownItemDto","apps\api\src\modules\analytics-overview\dto\analytics-overview-response.dto.ts","114"
"WEB","interface","AnalyticsEngineStatus","apps\web\src\features\analytics-engine\analytics-engine-types.ts","66"
"API","class","AnalyticsMetricDto","apps\api\src\modules\analytics-overview\dto\analytics-overview-response.dto.ts","59"
"API","class","AnalyticsMetricsDto","apps\api\src\modules\analytics-overview\dto\analytics-overview-response.dto.ts","73"
"API","class","AnalyticsOverviewQueryDto","apps\api\src\modules\analytics-overview\dto\analytics-overview-query.dto.ts","13"
"WEB","interface","AnalyticsOverviewResponse","apps\web\src\features\analytics-overview\analytics-overview.types.ts","31"
"API","class","AnalyticsOverviewResponseDto","apps\api\src\modules\analytics-overview\dto\analytics-overview-response.dto.ts","128"
"API","class","AnalyticsPaginationDto","apps\api\src\modules\analytics-reports\dto\analytics-report-response.dto.ts","3"
"WEB","interface","AnalyticsProcessingStatus","apps\web\src\features\analytics-processing\analytics-processing.types.ts","31"
